time [s], x [m], y [m], z[m], E [MeV], px [MeV], py [MeV], pz [MeV]
0.0,0.0,0.0,0.0,1108.721561078344,0.0,0.0,591.1172
1.0E-12,0.0,0.0,1.5994562E-4,1108.721561078344,0.0,0.0,591.1172
2.0E-12,0.0,0.0,3.1989123E-4,1108.721561078344,0.0,0.0,591.1172
3.0E-12,0.0,0.0,4.7983683E-4,1108.721561078344,0.0,0.0,591.1172
4.0E-12,0.0,0.0,6.3978246E-4,1108.721561078344,0.0,0.0,591.1172
5.0E-12,0.0,0.0,7.9972803E-4,1108.721561078344,0.0,0.0,591.1172
6.0E-12,0.0,0.0,9.5967366E-4,1108.721561078344,0.0,0.0,591.1172
7.0E-12,0.0,0.0,0.0011196192,1108.721561078344,0.0,0.0,591.1172
8.0E-12,0.0,0.0,0.0012795649,1108.721561078344,0.0,0.0,591.1172
9.0E-12,0.0,0.0,0.0014395105,1108.721561078344,0.0,0.0,591.1172
1.0E-11,0.0,0.0,0.0015994561,1108.721561078344,0.0,0.0,591.1172
1.1E-11,0.0,0.0,0.0017594018,1108.721561078344,0.0,0.0,591.1172
1.2E-11,0.0,0.0,0.0019193473,1108.721561078344,0.0,0.0,591.1172
1.3E-11,0.0,0.0,0.002079293,1108.721561078344,0.0,0.0,591.1172
1.4E-11,0.0,0.0,0.0022392385,1108.721561078344,0.0,0.0,591.1172
1.5E-11,0.0,0.0,0.0023991843,1108.721561078344,0.0,0.0,591.1172
1.6E-11,0.0,0.0,0.0025591298,1108.721561078344,0.0,0.0,591.1172
1.7E-11,0.0,0.0,0.0027190754,1108.721561078344,0.0,0.0,591.1172
1.8E-11,0.0,0.0,0.002879021,1108.721561078344,0.0,0.0,591.1172
1.9E-11,0.0,0.0,0.0030389666,1108.721561078344,0.0,0.0,591.1172
2.0E-11,0.0,0.0,0.0031989121,1108.721561078344,0.0,0.0,591.1172
2.1E-11,0.0,0.0,0.003358858,1108.721561078344,0.0,0.0,591.1172
2.2E-11,0.0,0.0,0.0035188035,1108.721561078344,0.0,0.0,591.1172
2.3E-11,0.0,0.0,0.003678749,1108.721561078344,0.0,0.0,591.1172
2.4E-11,0.0,0.0,0.0038386947,1108.721561078344,0.0,0.0,591.1172
2.5E-11,0.0,0.0,0.0039986405,1108.721561078344,0.0,0.0,591.1172
2.6E-11,0.0,0.0,0.004158586,1108.721561078344,0.0,0.0,591.1172
